login,org
iddralves,ps-store;ps-web-channel;ps-corp-platform;ps-acquirer;developer-productivity;pagseguro-core
leonardold,ps-store;pagseguro-core
abonacin,ps-infra;ps-corp-platform
cassianoroloff,ps-infra;ps-corp-platform
cce-cneves,ps-infra;ps-corp-platform;ps-customer;pagseguro-core
joseeduardojuliano,ps-infra;ps-corp-platform;pagseguro-core
rcafalchiouol,ps-infra;ps-servicedeskchannel;ps-corp-platform;ps-customer;pagseguro-core
rgpaixao,ps-infra;ps-corp-platform
vitorvmiguel,ps-infra;ps-corp-platform
FilipeThome,registra-seguro;ps-customer;ps-psp;developer-productivity
ps-reborges,registra-seguro;ps-acquirer;ps-customer;ps-psp;developer-productivity
renansmiranda,registra-seguro;ps-corp-platform
til-cbrandao,registra-seguro;ps-acquirer;ps-customer;ps-psp
brunocarneiro312,ps-mobileappchannel;ps-web-channel
dguachala,ps-mobileappchannel;ps-acquirer;developer-productivity;pagseguro-core
diegozelao,ps-mobileappchannel;ps-web-channel
gabrieltavares2002,ps-mobileappchannel;ps-web-channel
jennyferbelarmino,ps-mobileappchannel;ps-apichannel;pagseguro-core
jplethier,ps-mobileappchannel;ps-customer
nsd-dalcantara,ps-mobileappchannel;ps-web-channel
Rafael-Miranda23,ps-mobileappchannel;ps-web-channel
dlimaps,ps-apichannel;ps-corp-platform;ps-acquirer;ps-customer;developer-productivity;pagseguro-core
frozendo,ps-apichannel;ps-corp-platform;ps-acquirer;ps-customer;developer-productivity;pagseguro-core
idd-toliveira,ps-apichannel;ps-corp-platform;ps-acquirer;ps-customer;developer-productivity;pagseguro-core
mleoncio-ps,ps-apichannel;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
RicardoJeronymo,ps-apichannel;ps-customer
viniciusconti,ps-apichannel;ps-web-channel;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
zherro,ps-apichannel;ps-corp-platform;ps-acquirer;developer-productivity;pagseguro-core
017155,ps-servicedeskchannel
436153,ps-servicedeskchannel;developer-productivity
augustobmoura,ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;pagseguro-core
drufato,ps-servicedeskchannel;ps-customer;pagseguro-core
eduatakeuol,ps-servicedeskchannel;ps-poschannel;ps-web-channel;ps-acquirer
ice-gsenra,ps-servicedeskchannel;ps-customer;developer-productivity
id-raissacunha,ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-psp;developer-productivity;pagseguro-core
JeffersonCoelho,ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
jimmyhendris,ps-servicedeskchannel;ps-corp-platform;ps-customer;developer-productivity
lucascostauolinc,ps-servicedeskchannel;ps-web-channel;pagseguro-core
mariauol,ps-servicedeskchannel;ps-web-channel;ps-corp-platform
svcaccsalesforce,ps-servicedeskchannel
vbasseto,ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
jammotaPS,pagseguro-tilix
leagomes,pagseguro-tilix;ps-corp-platform;ps-psp
wfelicianoPS,pagseguro-tilix
apercario,ps-poschannel;ps-acquirer;ps-customer
angela-rf,ps-web-channel
